LSOA11,EVENT_COUNT
E01000001,3512
E01000002,3557
E01000003,5098
E01000005,2688
E01000006,4075
E01000007,5768
E01000008,3411
E01000009,4867
E01000010,6536
E01000011,3823
E01000012,4515
E01000013,4388
E01000014,4360
E01000015,5739
E01000016,4486
E01000017,4737
E01000018,4544
E01000019,3907
E01000020,4997
E01000021,4064
E01000022,3617
E01000023,8147
E01000024,3298
E01000025,4466
E01000027,4545
E01000028,4541
E01000029,4622
E01000030,5093
E01000031,4820
E01000032,4204
E01000033,3917
E01000034,4662
E01000035,4131
E01000036,3991
E01000037,4610
E01000038,4777
E01000039,4224
E01000040,4767
E01000041,3662
E01000042,4487
E01000043,3616
E01000044,5218
E01000045,4230
E01000046,4826
E01000048,2339
E01000049,4058
E01000050,4556
E01000051,1717
E01000052,5352
E01000053,4206
E01000054,4673
E01000055,4478
E01000056,4345
E01000057,3282
E01000058,4302
E01000059,4006
E01000060,5342
E01000061,4968
E01000062,4890
E01000063,4232
E01000064,5328
E01000065,5577
E01000066,4901
E01000067,4860
E01000068,4315
E01000069,3965
E01000070,5053
E01000071,5553
E01000072,4515
E01000073,4434
E01000074,4041
E01000075,5470
E01000076,4645
E01000077,4497
E01000078,4571
E01000079,4189
E01000080,4410
E01000081,4630
E01000082,4163
E01000083,4569
E01000084,3428
E01000085,3920
E01000086,4249
E01000087,3309
E01000088,4281
E01000089,3727
E01000090,3589
E01000091,5197
E01000092,11197
E01000093,4816
E01000094,4818
E01000095,3726
E01000096,4191
E01000097,4851
E01000098,5339
E01000099,6221
E01000100,4426
E01000101,4992
E01000102,4964
E01000103,4139
E01000104,4174
E01000105,6589
E01000106,5174
E01000107,4610
E01000108,4672
E01000109,5715
E01000110,3720
E01000111,5132
E01000112,5084
E01000113,4741
E01000114,5616
E01000115,4250
E01000116,4638
E01000117,6163
E01000118,5635
E01000119,5772
E01000120,4705
E01000121,3937
E01000122,4367
E01000123,4636
E01000124,4106
E01000125,6880
E01000126,5864
E01000127,4001
E01000128,5360
E01000129,4806
E01000130,4728
E01000131,4875
E01000132,3790
E01000133,4522
E01000134,3774
E01000135,4544
E01000136,3095
E01000137,4714
E01000138,5201
E01000139,4212
E01000140,4846
E01000141,5104
E01000142,6705
E01000143,4653
E01000144,4216
E01000145,4706
E01000146,4657
E01000147,5072
E01000148,6327
E01000150,5725
E01000151,4317
E01000152,3845
E01000153,5391
E01000154,3879
E01000155,8215
E01000156,5271
E01000157,4602
E01000158,3560
E01000159,4844
E01000160,4069
E01000161,6925
E01000162,4564
E01000163,4033
E01000164,5254
E01000165,4294
E01000166,4632
E01000167,4434
E01000168,4641
E01000169,4420
E01000170,4881
E01000171,4591
E01000172,4593
E01000173,4396
E01000174,5229
E01000175,4095
E01000176,5580
E01000177,4480
E01000178,5227
E01000179,3723
E01000180,4334
E01000181,4429
E01000182,5005
E01000183,4938
E01000184,4873
E01000185,4065
E01000186,3691
E01000187,4859
E01000188,4143
E01000189,4980
E01000190,4446
E01000191,4658
E01000192,5611
E01000193,5823
E01000194,4471
E01000195,5078
E01000196,5344
E01000197,4722
E01000198,4421
E01000199,4356
E01000200,5292
E01000201,3935
E01000202,4562
E01000203,4565
E01000204,4422
E01000205,4587
E01000206,2720
E01000207,3501
E01000208,3870
E01000209,5186
E01000210,3577
E01000211,5846
E01000212,3664
E01000213,2212
E01000214,3969
E01000215,6139
E01000216,5377
E01000217,3773
E01000218,4192
E01000219,4723
E01000220,7296
E01000221,4049
E01000222,5231
E01000223,4271
E01000224,4791
E01000225,5412
E01000226,5689
E01000227,5239
E01000228,3496
E01000229,4445
E01000230,6008
E01000231,5387
E01000232,5643
E01000233,4619
E01000234,5247
E01000235,4608
E01000236,5064
E01000237,4300
E01000238,4549
E01000239,5129
E01000240,4981
E01000241,4230
E01000242,4530
E01000243,5850
E01000244,3802
E01000245,6018
E01000246,3784
E01000247,4445
E01000248,4702
E01000249,4368
E01000250,6659
E01000251,5784
E01000252,5059
E01000253,4607
E01000254,4252
E01000255,4315
E01000256,4478
E01000257,5006
E01000258,5020
E01000259,7933
E01000260,5403
E01000261,5160
E01000262,6195
E01000263,3257
E01000264,4132
E01000265,5067
E01000266,4739
E01000267,4443
E01000268,5054
E01000269,3858
E01000270,4444
E01000271,4506
E01000272,3479
E01000273,5514
E01000274,5378
E01000275,4521
E01000276,3571
E01000277,4698
E01000278,3059
E01000279,3803
E01000280,3639
E01000281,3794
E01000282,5102
E01000283,3916
E01000284,5400
E01000285,4136
E01000286,5749
E01000287,5323
E01000288,4240
E01000289,4751
E01000290,5875
E01000291,4086
E01000292,4337
E01000293,4634
E01000294,5139
E01000295,3971
E01000296,4412
E01000297,3922
E01000298,4948
E01000299,4386
E01000300,4369
E01000301,4001
E01000302,4805
E01000303,3756
E01000304,3712
E01000305,5320
E01000306,4750
E01000307,4971
E01000308,5717
E01000309,4829
E01000310,5737
E01000311,3406
E01000312,4690
E01000313,5056
E01000314,5214
E01000315,5627
E01000316,5874
E01000317,5129
E01000318,5466
E01000319,3450
E01000320,4901
E01000321,4940
E01000322,4829
E01000323,6305
E01000324,4796
E01000325,3978
E01000326,3179
E01000327,3614
E01000328,4475
E01000329,4257
E01000330,4606
E01000331,4494
E01000332,5066
E01000333,4808
E01000334,4178
E01000335,4907
E01000336,4176
E01000337,3864
E01000338,3814
E01000339,4405
E01000340,4385
E01000341,4820
E01000342,3925
E01000343,3515
E01000344,4590
E01000345,3428
E01000346,3982
E01000347,3955
E01000348,3799
E01000349,4172
E01000350,3727
E01000351,4345
E01000352,3872
E01000353,4121
E01000354,4268
E01000355,3397
E01000356,4344
E01000357,3076
E01000358,4088
E01000359,3216
E01000360,3890
E01000361,3479
E01000362,4235
E01000363,4179
E01000364,3958
E01000365,4343
E01000366,3744
E01000367,4836
E01000368,4074
E01000369,4309
E01000370,4907
E01000371,3940
E01000372,4204
E01000373,1470
E01000374,3739
E01000375,4846
E01000376,4048
E01000377,4015
E01000378,6859
E01000379,4737
E01000380,4919
E01000381,5043
E01000382,3853
E01000383,5602
E01000384,4953
E01000385,5179
E01000386,5439
E01000387,4305
E01000388,3578
E01000389,4158
E01000390,3244
E01000391,4111
E01000392,3927
E01000393,3807
E01000394,3876
E01000395,3173
E01000396,2772
E01000398,3701
E01000399,3651
E01000400,3914
E01000401,4613
E01000402,4234
E01000403,6137
E01000404,4680
E01000405,3165
E01000406,4354
E01000407,4655
E01000408,3750
E01000409,3438
E01000410,3452
E01000411,3394
E01000412,3474
E01000413,3741
E01000414,4005
E01000415,3074
E01000416,3415
E01000417,3977
E01000418,4038
E01000419,4470
E01000420,4170
E01000421,4210
E01000422,2997
E01000423,4220
E01000424,4348
E01000425,4713
E01000426,3812
E01000427,6518
E01000428,5558
E01000429,4074
E01000430,4068
E01000431,4027
E01000432,5916
E01000433,4893
E01000434,4261
E01000435,3462
E01000436,4213
E01000437,3341
E01000438,4011
E01000439,3328
E01000440,3923
E01000441,4473
E01000442,4289
E01000443,3332
E01000444,4109
E01000445,5116
E01000446,3385
E01000447,4365
E01000448,3010
E01000449,3806
E01000450,4109
E01000451,3843
E01000452,3225
E01000453,3128
E01000454,4122
E01000455,3809
E01000456,2791
E01000457,5244
E01000458,4449
E01000459,5489
E01000460,3266
E01000461,3846
E01000462,4916
E01000463,2956
E01000464,3375
E01000465,3986
E01000466,3319
E01000467,3636
E01000468,5082
E01000469,3726
E01000470,2609
E01000471,3422
E01000472,3470
E01000473,4652
E01000474,4141
E01000475,3983
E01000476,3485
E01000477,3460
E01000478,3899
E01000479,4843
E01000480,4253
E01000481,3471
E01000482,7052
E01000483,4117
E01000484,3845
E01000485,3671
E01000486,3477
E01000487,4315
E01000488,3826
E01000489,4301
E01000490,4266
E01000491,4893
E01000492,3326
E01000493,4369
E01000494,4486
E01000495,5046
E01000497,5073
E01000498,4225
E01000499,3908
E01000501,5331
E01000502,4106
E01000503,5385
E01000504,4737
E01000505,4052
E01000506,3823
E01000507,4295
E01000508,5171
E01000509,3907
E01000510,4111
E01000511,4015
E01000512,3919
E01000513,4079
E01000514,3231
E01000515,3410
E01000516,3929
E01000517,3547
E01000518,3866
E01000519,4504
E01000520,3781
E01000521,6130
E01000522,4612
E01000523,5908
E01000524,5463
E01000525,5109
E01000526,5463
E01000527,4891
E01000528,4631
E01000530,4377
E01000531,4973
E01000532,4242
E01000533,5652
E01000534,4806
E01000535,4986
E01000536,3535
E01000538,2825
E01000539,3252
E01000540,3779
E01000541,3068
E01000543,3747
E01000544,4499
E01000545,5668
E01000546,4869
E01000547,4421
E01000548,5457
E01000549,4887
E01000550,5556
E01000551,7923
E01000552,4593
E01000553,5215
E01000554,4932
E01000555,3703
E01000556,4567
E01000557,4563
E01000558,3938
E01000559,4014
E01000560,3921
E01000561,5264
E01000562,3979
E01000563,4045
E01000564,3024
E01000565,3841
E01000566,3298
E01000567,2938
E01000568,3555
E01000569,3744
E01000570,3199
E01000571,4001
E01000572,2616
E01000573,3235
E01000574,2938
E01000575,3394
E01000576,3789
E01000577,4172
E01000578,6116
E01000579,4572
E01000580,5784
E01000581,3200
E01000582,4283
E01000583,5449
E01000584,3965
E01000585,3848
E01000586,5510
E01000587,4103
E01000588,6422
E01000589,4796
E01000590,4495
E01000591,4862
E01000592,4524
E01000593,5229
E01000594,3992
E01000595,3888
E01000596,4037
E01000599,3995
E01000600,7249
E01000601,3762
E01000602,3730
E01000603,3318
E01000604,4474
E01000605,3814
E01000606,3486
E01000607,4353
E01000608,5413
E01000609,4170
E01000610,4416
E01000611,2950
E01000612,3950
E01000613,3029
E01000615,4370
E01000616,3821
E01000617,4512
E01000618,4155
E01000619,3596
E01000620,4139
E01000621,4152
E01000622,3695
E01000623,3779
E01000624,4575
E01000625,4061
E01000626,3726
E01000627,4454
E01000628,4698
E01000629,4436
E01000630,5003
E01000631,3704
E01000632,4579
E01000633,4250
E01000634,5097
E01000635,5155
E01000636,4516
E01000637,4185
E01000638,4225
E01000639,3445
E01000640,5535
E01000641,4588
E01000642,5441
E01000643,6144
E01000644,4840
E01000645,3350
E01000646,4456
E01000647,3586
E01000648,3843
E01000649,4616
E01000650,4368
E01000651,4298
E01000652,4383
E01000653,4248
E01000654,3288
E01000655,2853
E01000656,3697
E01000657,3864
E01000658,4178
E01000659,3163
E01000661,6444
E01000662,4619
E01000663,4305
E01000664,4262
E01000665,4567
E01000666,5082
E01000667,4208
E01000668,5028
E01000669,3903
E01000670,4231
E01000671,4918
E01000672,3645
E01000673,3891
E01000674,4302
E01000675,5277
E01000676,4172
E01000677,3980
E01000678,3959
E01000679,3863
E01000680,3945
E01000681,4157
E01000682,4193
E01000683,3899
E01000684,4328
E01000685,4389
E01000686,3973
E01000687,4447
E01000688,3423
E01000689,4191
E01000690,3591
E01000691,3960
E01000692,3767
E01000693,4357
E01000694,5184
E01000695,3336
E01000696,3701
E01000697,3849
E01000698,3264
E01000699,3721
E01000700,3638
E01000701,3445
E01000702,3480
E01000703,3968
E01000704,3716
E01000705,3689
E01000706,3341
E01000707,2682
E01000708,4585
E01000709,3918
E01000710,4309
E01000711,5146
E01000712,4185
E01000713,4266
E01000714,4815
E01000715,4480
E01000716,3951
E01000717,3892
E01000718,4841
E01000719,4735
E01000720,3955
E01000721,3861
E01000722,4387
E01000723,4027
E01000724,4129
E01000725,4213
E01000726,3620
E01000727,4907
E01000728,4823
E01000729,5026
E01000730,3909
E01000731,3653
E01000732,3997
E01000733,4324
E01000734,2974
E01000735,3812
E01000736,3885
E01000737,4083
E01000738,4406
E01000739,4468
E01000740,4469
E01000741,3841
E01000742,4807
E01000743,5649
E01000744,5315
E01000745,4096
E01000746,4617
E01000747,5164
E01000748,4339
E01000749,4589
E01000750,4759
E01000751,4928
E01000752,4740
E01000753,5433
E01000754,3795
E01000755,4309
E01000756,4308
E01000757,3940
E01000758,3206
E01000759,3781
E01000760,4106
E01000761,3590
E01000762,4013
E01000763,3298
E01000764,4103
E01000765,3879
E01000766,3288
E01000767,3765
E01000768,3629
E01000769,4182
E01000770,3693
E01000771,4474
E01000772,4234
E01000773,3915
E01000774,3813
E01000775,5520
E01000777,3626
E01000778,4181
E01000779,4095
E01000780,3742
E01000781,3708
E01000782,4243
E01000783,3500
E01000784,3497
E01000785,3800
E01000786,4480
E01000787,5075
E01000788,4221
E01000789,4205
E01000790,4420
E01000791,4148
E01000792,3778
E01000793,4729
E01000794,4018
E01000795,4159
E01000796,4077
E01000797,3865
E01000798,4251
E01000799,4296
E01000800,4289
E01000801,3953
E01000802,4198
E01000803,4681
E01000804,4091
E01000805,4422
E01000806,3616
E01000807,3663
E01000808,3887
E01000809,3703
E01000810,3537
E01000811,3004
E01000812,4046
E01000813,4046
E01000814,3862
E01000815,3487
E01000816,4971
E01000818,3863
E01000819,4325
E01000820,4142
E01000822,4123
E01000823,3372
E01000824,3558
E01000825,3816
E01000826,3716
E01000827,4436
E01000828,4516
E01000829,3866
E01000830,3208
E01000831,5047
E01000832,3225
E01000833,2588
E01000834,2608
E01000835,3927
E01000836,2827
E01000837,3945
E01000838,3605
E01000839,3442
E01000840,4988
E01000841,4216
E01000842,3789
E01000843,4927
E01000844,4001
E01000845,4716
E01000846,5185
E01000847,5539
E01000848,4291
E01000849,4594
E01000850,4281
E01000851,3272
E01000852,2846
E01000853,6746
E01000854,4469
E01000855,4028
E01000856,5639
E01000857,5095
E01000858,6818
E01000859,3794
E01000860,4856
E01000861,4861
E01000862,4229
E01000863,4376
E01000864,4134
E01000865,3097
E01000866,7380
E01000867,5324
E01000868,4687
E01000869,5478
E01000870,5998
E01000871,4937
E01000872,4519
E01000873,4014
E01000874,4230
E01000875,4477
E01000876,6157
E01000877,4386
E01000878,3070
E01000879,3158
E01000880,3558
E01000881,3434
E01000882,3443
E01000883,3439
E01000884,2652
E01000885,2993
E01000886,4807
E01000887,4851
E01000888,5773
E01000889,7437
E01000890,7775
E01000891,6221
E01000892,6170
E01000893,4394
E01000894,3370
E01000895,5210
E01000896,3585
E01000897,3815
E01000898,6582
E01000899,3389
E01000900,6447
E01000901,7359
E01000902,6314
E01000903,5648
E01000904,7835
E01000905,8029
E01000906,4197
E01000907,5851
E01000908,6305
E01000909,6343
E01000910,4259
E01000911,5321
E01000912,7253
E01000913,4613
E01000914,4813
E01000915,4877
E01000916,4894
E01000917,6181
E01000918,4993
E01000919,5333
E01000920,6015
E01000921,5287
E01000922,5057
E01000923,4554
E01000924,4637
E01000925,5518
E01000926,4127
E01000927,5396
E01000928,5518
E01000929,5168
E01000930,7313
E01000931,6427
E01000932,5561
E01000933,5372
E01000934,6153
E01000935,4954
E01000936,4112
E01000937,2488
E01000938,4292
E01000939,4183
E01000940,3391
E01000941,4327
E01000942,3140
E01000943,3263
E01000944,5347
E01000945,4282
E01000946,4777
E01000947,5040
E01000948,5301
E01000949,6401
E01000950,4361
E01000951,4891
E01000952,5167
E01000953,9640
E01000954,5681
E01000955,5156
E01000956,6785
E01000957,4758
E01000958,6601
E01000959,5654
E01000960,4423
E01000961,5852
E01000962,3934
E01000963,4215
E01000964,5728
E01000965,3834
E01000966,3884
E01000967,2841
E01000968,4327
E01000969,4481
E01000970,3667
E01000971,3668
E01000972,7635
E01000973,5839
E01000974,4968
E01000975,4848
E01000976,4934
E01000977,5459
E01000978,4482
E01000979,3929
E01000980,4552
E01000981,4040
E01000982,4309
E01000983,4560
E01000984,5914
E01000985,4509
E01000986,5044
E01000987,4298
E01000989,4816
E01000990,4676
E01000991,5110
E01000992,5319
E01000993,4356
E01000994,4103
E01000995,4912
E01000996,3530
E01000997,4327
E01000998,4200
E01000999,3769
E01001000,4406
E01001001,4155
E01001002,3945
E01001003,4009
E01001004,5621
E01001005,4075
E01001006,3591
E01001007,4934
E01001008,4781
E01001009,4603
E01001010,4885
E01001011,5687
E01001012,6287
E01001013,7014
E01001014,9398
E01001015,3747
E01001016,5546
E01001017,4002
E01001018,4403
E01001019,4541
E01001020,4513
E01001021,4503
E01001022,4099
E01001023,5057
E01001024,3669
E01001025,3275
E01001026,5233
E01001027,4213
E01001028,5025
E01001029,5403
E01001030,3792
E01001031,3927
E01001032,3713
E01001033,4432
E01001034,4504
E01001035,4514
E01001036,3836
E01001037,4037
E01001038,4943
E01001039,3627
E01001040,4517
E01001041,4373
E01001042,5383
E01001043,7618
E01001044,5164
E01001045,8475
E01001046,4452
E01001047,5357
E01001048,6976
E01001049,4530
E01001050,5565
E01001051,5302
E01001052,4493
E01001053,4572
E01001054,5468
E01001055,5390
E01001056,4967
E01001057,4616
E01001058,3935
E01001059,4102
E01001060,4252
E01001061,4727
E01001062,5119
E01001063,3989
E01001064,4365
E01001065,4498
E01001066,4323
E01001067,4463
E01001068,5030
E01001069,3857
E01001070,5057
E01001071,4606
E01001072,3835
E01001073,3883
E01001074,5040
E01001075,3993
E01001076,5173
E01001077,4491
E01001078,5081
E01001079,5680
E01001080,5844
E01001081,5195
E01001082,4596
E01001083,5734
E01001084,5749
E01001085,4929
E01001086,6217
E01001087,7636
E01001088,4629
E01001089,5792
E01001090,6361
E01001091,5533
E01001092,6409
E01001093,4312
E01001094,4411
E01001095,3760
E01001096,3905
E01001097,7668
E01001098,3901
E01001099,4328
E01001100,4057
E01001101,3278
E01001102,4414
E01001103,5345
E01001104,4072
E01001105,4478
E01001106,4484
E01001107,4681
E01001108,4373
E01001109,5718
E01001110,5790
E01001111,4378
E01001112,5613
E01001113,4901
E01001114,3552
E01001115,5652
E01001116,3577
E01001117,8018
E01001118,6314
E01001119,3694
E01001120,4149
E01001121,4177
E01001122,4126
E01001123,4647
E01001124,4876
E01001125,4589
E01001126,4333
E01001127,4022
E01001128,4149
E01001129,3922
E01001130,3784
E01001131,4020
E01001132,4907
E01001133,5454
E01001134,4561
E01001135,4381
E01001136,5173
E01001137,4818
E01001138,3703
E01001139,4196
E01001140,4184
E01001141,3542
E01001142,5299
E01001143,6007
E01001144,4654
E01001145,4645
E01001146,4301
E01001147,4570
E01001148,4444
E01001149,4052
E01001150,4686
E01001151,5499
E01001152,5159
E01001153,4823
E01001154,5398
E01001155,6205
E01001156,5237
E01001157,5171
E01001158,3754
E01001159,5286
E01001160,5591
E01001161,6338
E01001162,4635
E01001163,5243
E01001164,5011
E01001165,4302
E01001166,4799
E01001167,6121
E01001168,4782
E01001169,4253
E01001170,5932
E01001171,4635
E01001172,5707
E01001173,7901
E01001174,4807
E01001175,4757
E01001176,4907
E01001177,4894
E01001178,4842
E01001179,4274
E01001180,4432
E01001181,6154
E01001182,4570
E01001183,5491
E01001184,4379
E01001185,4252
E01001186,5365
E01001187,4993
E01001188,5264
E01001189,2995
E01001190,3699
E01001191,5156
E01001192,4037
E01001193,4903
E01001194,4453
E01001195,4016
E01001196,5424
E01001197,4175
E01001198,3330
E01001199,4204
E01001200,3594
E01001201,3289
E01001202,6056
E01001203,4750
E01001204,4230
E01001205,3778
E01001206,2923
E01001207,3614
E01001208,3268
E01001209,3659
E01001210,4642
E01001211,3903
E01001212,4559
E01001213,4827
E01001214,4506
E01001215,5222
E01001216,4058
E01001217,3408
E01001218,4915
E01001219,5057
E01001220,3119
E01001221,5522
E01001222,5478
E01001223,2849
E01001224,3520
E01001225,4644
E01001226,3664
E01001227,3644
E01001228,4152
E01001229,3976
E01001230,3506
E01001231,4718
E01001232,3877
E01001233,3914
E01001234,2797
E01001235,3115
E01001236,3766
E01001237,3751
E01001238,6627
E01001239,3649
E01001240,4458
E01001241,4508
E01001242,3651
E01001243,5713
E01001244,6757
E01001245,4317
E01001246,3996
E01001247,5446
E01001248,3706
E01001249,6018
E01001250,5807
E01001251,3875
E01001252,5537
E01001253,4050
E01001254,3716
E01001255,3651
E01001257,3981
E01001258,4137
E01001259,3448
E01001260,4965
