LSOA11,PROCODE3,EVENT_COUNT
E01033450,RGQ,10845
E01030152,RGQ,10383
E01029893,RGQ,9561
E01019892,RH8,9384
E01024149,RN7,9158
E01018003,RGT,9140
E01030203,RGQ,9114
E01033583,R1H,9052
E01024618,RPA,8713
E01030185,RGQ,8348
E01023155,RN5,8299
E01033075,RLN,8290
E01033278,RHQ,8203
E01017705,RXQ,8146
E01018002,RGT,8138
E01030190,RGQ,8093
E01027789,RCB,8092
E01027910,RCB,8001
E01013365,RCB,7993
E01033277,RHQ,7971
E01002249,RF4,7953
E01030183,RGQ,7866
E01030220,RGQ,7794
E01030164,RGQ,7710
E01030103,RGR,7527
E01008762,RLN,7460
E01027868,RCB,7455
E01007906,RHQ,7331
E01019893,RH8,7324
E01007965,RHQ,7299
E01030162,RGQ,7273
E01018267,RGT,7270
E01023201,RN5,7265
E01026085,RWD,7259
E01028521,RTH,7255
E01016942,RXH,7240
E01032099,RD1,7214
E01008304,RTD,7113
E01030002,RGQ,7105
E01018564,RJR,7100
E01029873,RGQ,7099
E01030166,RGQ,7076
E01030184,RGQ,7051
E01018348,RJR,7027
E01004022,RJ1,7015
E01013697,RWE,6992
E01008777,RLN,6938
E01033072,RTX,6904
E01004142,RVR,6898
E01004238,R1H,6883
E01027828,RCB,6860
E01030179,RGQ,6855
E01026933,RM1,6852
E01030036,RGQ,6828
E01030170,RGQ,6807
E01021026,RXH,6806
E01005194,R0A,6794
E01031212,RJC,6793
E01033446,RGQ,6789
E01033621,RXK,6786
E01009886,RNA,6765
E01033233,RH8,6759
E01029998,RGQ,6755
E01029637,RL4,6749
E01015671,RGN,6749
E01033279,RHQ,6731
E01019913,RH8,6727
E01029987,RGQ,6716
E01033187,RNA,6699
E01000953,RRV,6685
E01022578,RN5,6682
E01007909,RHQ,6658
E01033726,RJ2,6645
E01030210,RGQ,6634
E01030211,RGQ,6611
E01018326,RJR,6593
E01028475,RTH,6593
E01008308,RTD,6587
E01008305,RTD,6587
E01016840,RD8,6577
E01003609,R1H,6565
E01008332,RTD,6563
E01008712,RLN,6554
E01018327,RJR,6547
E01020279,RBZ,6545
E01005196,R0A,6544
E01030383,RVR,6523
E01012938,RCB,6511
E01020322,RH8,6509
E01029927,RGR,6507
E01029645,RNA,6498
E01004284,R1H,6496
E01033076,RLN,6495
E01004702,RYJ,6477
