A,B,EVENT_COUNT,ID1,ID2
1,2,122,RFF,RJL
1,3,9,RFF,RWF
1,4,3,RFF,RBQ
1,5,15,RFF,RXW
1,6,11,RFF,RE9
1,7,66,RFF,RTD
1,8,10,RFF,RTK
1,9,7,RFF,RBK
1,10,18,RFF,RTX
1,11,10,RFF,RWH
1,12,2281,RFF,RR8
1,13,16,RFF,REM
1,14,14,RFF,RN5
1,15,5,RFF,RC1
1,16,3,RFF,RJ6
1,17,4,RFF,RBL
1,18,9,RFF,RNZ
1,19,9,RFF,R1F
1,20,20,RFF,RYR
1,21,15,RFF,RBD
1,22,9,RFF,RA3
1,23,40,RFF,RQ6
1,24,11,RFF,RAX
1,25,37,RFF,RW6
1,26,5,RFF,RPA
1,27,36,RFF,RRV
1,28,13,RFF,RH8
1,29,14,RFF,RJZ
1,30,31,RFF,RJE
1,31,66,RFF,RRF
1,32,9,RFF,RMC
1,33,32,RFF,RXP
1,34,34,RFF,RA9
1,35,14,RFF,R1K
1,37,17,RFF,RNS
1,38,26,RFF,RVW
1,39,20,RFF,RXN
1,40,35,RFF,RRJ
1,41,5,RFF,RVJ
1,42,12,RFF,RDZ
1,43,25,RFF,RK9
1,44,29,RFF,RP6
1,45,7,RFF,RGQ
1,46,9,RFF,RT3
1,47,10,RFF,RL4
1,48,11,RFF,RXH
1,49,40,RFF,R1H
1,50,20,RFF,RHW
1,51,26,RFF,RTF
1,52,13,RFF,RJR
1,53,7,RFF,RAP
1,54,11,RFF,RTE
1,55,12,RFF,RJC
1,56,71,RFF,RK5
1,57,10,RFF,RGM
1,58,76,RFF,RCD
1,59,4,RFF,RLT
1,60,2,RFF,RA2
1,61,8346,RFF,RP5
1,62,35,RFF,RPY
1,63,6,RFF,RJN
1,64,20,RFF,RYJ
1,65,4106,RFF,RFR
1,67,10,RFF,RD3
1,68,41,RFF,RJ1
1,69,10,RFF,RR7
1,70,158,RFF,RWD
1,71,67,RFF,RXL
1,72,7,RFF,RJ2
1,73,303,RFF,RCB
1,74,5,RFF,RGR
1,75,5,RFF,RDE
1,76,43,RFF,RBV
1,77,7,RFF,RVR
1,78,34,RFF,RGN
1,79,10,RFF,RBN
1,80,14,RFF,RVV
1,81,6,RFF,RAS
1,82,11,RFF,RHM
1,83,8,RFF,RNA
1,84,2,RFF,RA4
1,85,33,RFF,RMP
1,86,15,RFF,RAN
1,87,6,RFF,RQ8
1,88,7,RFF,RBZ
1,89,10,RFF,RET
1,90,15,RFF,RDU
1,91,11,RFF,RBT
1,92,15,RFF,RHU
1,93,21,RFF,RCU
1,94,3,RFF,RL1
