A,B,EVENT_COUNT,ID1,ID2
0,1,37120,Paper RGP,Paper RM1
0,2,23,Paper RGP,In-house Development RNA
0,3,34,Paper RGP,Paper RXH
0,4,212,Paper RGP,Across Health 
0,5,45,Paper RGP,Intersystems
0,6,1832,Paper RGP,DXC Technology
0,7,22,Paper RGP,Paper RXF
0,8,1406,Paper RGP,Kainos
0,9,481,Paper RGP,Multiple RC9
0,10,14,Paper RGP,Paper RCD
0,11,46,Paper RGP,Viper
0,13,10,Paper RGP,In-house Development RRK
0,14,20,Paper RGP,In-house Development RJF
0,15,119,Paper RGP,Teleologic
0,16,111,Paper RGP,Graphnet
0,17,25,Paper RGP,In-house Development RCB
0,18,129,Paper RGP,Multiple RAN
0,19,11,Paper RGP,Paper RXW
0,20,1398,Paper RGP,Cerner
0,21,2,Paper RGP,In-house Development RET
0,22,21,Paper RGP,Multiple RWP
0,23,68,Paper RGP,Cambio Healthcare Systems
0,24,7,Paper RGP,CGI
0,25,20,Paper RGP,Paper RW6
0,26,11,Paper RGP,Paper RBT
0,27,24,Paper RGP,TPP
0,28,16,Paper RGP,Paper RTF
0,29,156,Paper RGP,Paper RDE
0,30,50,Paper RGP,Paper RWG
0,31,19,Paper RGP,Paper RLT
0,32,61,Paper RGP,Multiple RX1
0,33,129,Paper RGP,Paper RHQ
0,34,4,Paper RGP,Silverlink Software
0,35,23,Paper RGP,Paper RRJ
0,36,1,Paper RGP,Paper RMC
0,37,10,Paper RGP,Fortrus
0,38,48,Paper RGP,Multiple R1K
0,39,16,Paper RGP,Paper RTK
0,40,12,Paper RGP,Paper RXR
0,41,14,Paper RGP,Multiple RQ6
0,42,5,Paper RGP,Paper RPC
0,43,19,Paper RGP,Paper RA2
0,44,356,Paper RGP,System C
0,45,57,Paper RGP,IMS Maxims
0,46,10,Paper RGP,In-house Development RBV
0,47,14,Paper RGP,In-house Development RL4
0,48,28,Paper RGP,In-house Development RR1
0,49,49,Paper RGP,Paper RN7
0,50,18,Paper RGP,Meditech
0,51,39,Paper RGP,Multiple R0A
0,52,7,Paper RGP,Multiple RBK
0,53,23,Paper RGP,In-house Development RJL
0,54,24,Paper RGP,In-house Development RAS
0,55,74,Paper RGP,In-house Development RPY
0,56,7,Paper RGP,Multiple RXN
0,57,49,Paper RGP,Paper RYR
0,58,214,Paper RGP,Paper RCX
0,59,31,Paper RGP,Paper RP4
0,60,146,Paper RGP,Paper RF4
0,61,3085,Paper RGP,Epic Systems
0,62,11,Paper RGP,Paper RNL
0,63,14,Paper RGP,Paper RH8
0,64,36,Paper RGP,Paper RDU
0,65,1,Paper RGP,Paper RJN
0,66,15,Paper RGP,Paper RK9
0,67,3,Paper RGP,Multiple REM
0,68,31,Paper RGP,In-house Development RR8
0,69,15,Paper RGP,Multiple RA9
0,70,30,Paper RGP,EMIS Health
0,71,138,Paper RGP,Multiple RGN
0,72,88,Paper RGP,Multiple RAJ
0,73,73,Paper RGP,Paper RC1
0,74,29,Paper RGP,Paper RPA
0,75,92,Paper RGP,Paper RWD
0,76,88,Paper RGP,Paper RWE
0,77,44,Paper RGP,Paper RAP
0,78,31,Paper RGP,Paper RP5
0,79,185,Paper RGP,Allscripts
0,80,22,Paper RGP,Paper RTR
0,81,37,Paper RGP,In-house Development RN5
0,82,60,Paper RGP,Advanced
1,2,28,Paper RM1,In-house Development RNA
1,3,154,Paper RM1,Paper RXH
1,4,596,Paper RM1,Across Health 
1,5,190,Paper RM1,Intersystems
1,6,5396,Paper RM1,DXC Technology
1,7,32,Paper RM1,Paper RXF
1,8,7633,Paper RM1,Kainos
1,9,540,Paper RM1,Multiple RC9
1,10,38,Paper RM1,Paper RCD
1,11,167,Paper RM1,Viper
1,13,122,Paper RM1,In-house Development RRK
1,14,29,Paper RM1,In-house Development RJF
1,15,277,Paper RM1,Teleologic
1,16,445,Paper RM1,Graphnet
1,17,119,Paper RM1,In-house Development RCB
1,18,343,Paper RM1,Multiple RAN
1,19,55,Paper RM1,Paper RXW
1,20,10651,Paper RM1,Cerner
1,21,16,Paper RM1,In-house Development RET
1,22,86,Paper RM1,Multiple RWP
1,23,197,Paper RM1,Cambio Healthcare Systems
1,24,38,Paper RM1,CGI
1,25,52,Paper RM1,Paper RW6
1,26,23,Paper RM1,Paper RBT
1,27,41,Paper RM1,TPP
1,28,33,Paper RM1,Paper RTF
1,29,520,Paper RM1,Paper RDE
1,30,158,Paper RM1,Paper RWG
1,31,37,Paper RM1,Paper RLT
1,32,294,Paper RM1,Multiple RX1
1,33,359,Paper RM1,Paper RHQ
1,34,9,Paper RM1,Silverlink Software
1,35,31,Paper RM1,Paper RRJ
1,36,20,Paper RM1,Paper RMC
1,37,71,Paper RM1,Fortrus
1,38,192,Paper RM1,Multiple R1K
1,39,85,Paper RM1,Paper RTK
1,40,32,Paper RM1,Paper RXR
1,41,64,Paper RM1,Multiple RQ6
1,42,39,Paper RM1,Paper RPC
1,43,56,Paper RM1,Paper RA2
1,44,919,Paper RM1,System C
1,45,218,Paper RM1,IMS Maxims
1,46,37,Paper RM1,In-house Development RBV
1,47,36,Paper RM1,In-house Development RL4
1,48,59,Paper RM1,In-house Development RR1
1,49,87,Paper RM1,Paper RN7
1,50,82,Paper RM1,Meditech
1,51,92,Paper RM1,Multiple R0A
1,52,13,Paper RM1,Multiple RBK
1,53,111,Paper RM1,In-house Development RJL
1,54,46,Paper RM1,In-house Development RAS
1,55,469,Paper RM1,In-house Development RPY
1,56,35,Paper RM1,Multiple RXN
